,lsoa,lat,lon
754,E01000755,51.37518,0.07709
755,E01000756,51.37057,0.05819
756,E01000757,51.36881,0.07528
757,E01000758,51.36963,0.08388
758,E01000759,51.35366,0.007
759,E01000760,51.36698,-0.00131
760,E01000761,51.36557,0.00594
761,E01000762,51.39062,0.01234
762,E01000763,51.38644,0.02018
763,E01000764,51.38571,0.00835
764,E01000765,51.37586,0.02487
765,E01000766,51.37972,0.00485
766,E01000767,51.37893,0.01256
767,E01000768,51.37317,0.0075
768,E01000769,51.38419,-0.03185
769,E01000770,51.40123,-0.02381
770,E01000771,51.40261,-0.03327
771,E01000772,51.40234,-0.01649
772,E01000773,51.39804,-0.03098
773,E01000774,51.39655,-0.0391
774,E01000775,51.39148,-0.02136
775,E01000776,51.39551,-0.04745
776,E01000777,51.39271,-0.03295
777,E01000778,51.39138,-0.04189
778,E01000779,51.43728,0.03513
779,E01000780,51.43305,0.04502
780,E01000781,51.42995,0.04965
781,E01000782,51.42852,0.04164
782,E01000783,51.42679,0.04948
783,E01000784,51.42418,0.05477
784,E01000785,51.4248,0.04563
785,E01000786,51.3685,0.11934
786,E01000787,51.37961,0.11474
787,E01000788,51.37611,0.1045
788,E01000789,51.37582,0.1188
789,E01000790,51.37368,0.09693
790,E01000791,51.37557,0.10985
791,E01000792,51.37333,0.11683
792,E01000793,51.36911,0.105
793,E01000794,51.36563,0.10016
